"year"	"week"	"aveTemp"	"maxTemp"	"relHum"	"sunHours"	"precip"	"total"	"pos"	"R1total"	"R1pos"	"R2total"	"R2pos"	"R3total"	"R3pos"	"R4total"	"R4pos"	"R5total"	"R5pos"	"R6total"	"R6pos"	"R7total"	"R7pos"	"R8total"	"R8pos"
2000	16	9.7	17.6	78	33	17	82	11	7	3	17	0	12	2	5	1	13	2	11	0	4	0	4	0
2000	17	12.9	23.7	75	54	8	108	29	10	0	3	0	14	5	16	4	9	2	10	4	5	0	34	13
2000	18	12.3	19.7	62	74	0	121	32	12	5	23	8	27	4	6	1	14	4	5	2	3	1	14	2
2000	19	14	23.3	48	103	0	127	27	15	4	8	0	27	2	15	5	10	0	4	2	10	1	4	3
2000	20	13.3	26.1	66	68	12	113	29	14	0	8	2	20	8	14	6	16	2	3	0	12	0	2	2
2000	21	11.7	16.6	74	44	37	116	38	13	3	1	0	29	10	12	7	18	5	9	3	8	1	6	3
2000	22	10.8	17	74	54	13	113	47	3	0	14	9	26	10	9	5	17	5	13	1	4	4	4	3
2000	23	13.1	22.8	73	59	14	120	49	7	4	13	10	24	10	4	2	14	1	13	5	6	3	8	4
2000	24	13.1	20.5	67	64	1	102	66	14	11	15	11	16	11	6	6	14	2	13	9	4	4	6	3
2000	25	17.3	29.1	72	63	21	117	61	6	3	11	7	18	7	6	5	12	8	15	7	3	3	31	12
2000	26	12.6	19.3	77	32	8	124	62	16	11	11	7	33	14	8	7	13	1	8	3	4	0	14	7
2000	27	14.4	22.7	68	59	10	118	62	19	14	10	5	18	8	13	5	17	5	3	0	9	7	4	0
2000	28	14.1	20.2	74	54	17	118	73	10	6	1	0	18	13	15	9	16	12	12	5	11	5	3	2
2000	29	15.4	23.3	77	45	6	132	48	5	0	8	3	37	23	7	3	26	6	11	4	5	2	6	3
2000	30	16.2	22.8	80	28	8	108	43	7	3	16	4	21	10	18	8	8	1	4	1	3	1	6	2
2000	31	15.7	21.4	77	44	14	125	71	5	3	9	3	22	12	9	2	23	17	16	6	7	5	17	13
2000	32	14.7	21.3	70	52	6	114	71	11	6	19	18	22	17	1	1	11	5	15	4	2	2	15	8
2000	33	16.3	23.5	74	44	16	116	72	17	13	10	7	25	16	3	2	15	9	6	5	9	6	15	2
2000	34	14.8	21.9	63	67	4	113	67	15	10	7	5	28	11	3	3	13	7	4	2	7	4	15	10
2000	35	13.9	20	76	37	27	120	76	14	3	12	7	13	10	17	14	9	5	9	5	8	4	3	1
2000	36	13.6	19.1	72	35	14	114	56	6	5	8	6	26	11	8	8	20	7	8	4	6	6	0	0
2000	37	13.1	17.6	81	19	32	105	48	8	3	10	6	21	12	11	8	16	4	9	5	4	1	6	3
2000	38	12	17.6	69	54	0	120	54	8	1	13	8	28	14	18	11	17	3	7	5	4	2	5	2
2000	39	13.5	20.6	82	37	10	124	61	8	2	13	12	24	12	10	6	13	4	15	3	7	6	15	5
2000	40	11.7	17	83	27	13	117	52	15	7	20	15	18	11	4	3	11	3	13	0	2	2	17	7
2000	41	10.3	14.9	87	20	13	118	49	19	8	5	4	26	12	3	1	13	5	6	3	11	6	17	6
2000	42	11.2	15.4	86	20	2	115	51	7	1	11	2	27	15	3	3	13	2	9	2	12	4	10	7
2000	43	10.6	15.1	86	18	47	121	56	9	3	16	7	14	8	15	10	21	3	3	0	5	2	5	3
2000	44	7.9	11.8	86	16	37	120	31	9	2	8	3	27	6	14	10	19	5	10	0	4	2	3	1
2000	45	8	10	89	7	33	109	24	6	1	12	3	32	5	3	3	9	2	11	4	2	1	5	1
2000	46	6.2	9.8	92	13	26	111	36	13	2	9	2	22	4	14	7	14	3	5	0	7	5	10	6
2000	47	6.1	8.5	92	9	9	132	58	16	5	13	7	25	12	14	9	15	5	15	3	8	5	11	3
2000	48	7.7	11.1	94	8	18	134	48	21	10	14	6	29	8	9	7	12	2	12	7	9	3	8	0
2000	49	7.6	10.2	92	6	18	120	32	9	2	4	1	20	4	1	0	18	4	12	4	13	4	21	2
2000	50	6.5	11	90	6	32	118	47	6	1	16	5	27	16	3	2	16	3	4	0	7	1	11	6
2000	51	-0.1	4.5	90	15	2	112	39	14	5	12	5	10	2	18	11	16	1	6	1	2	0	8	3
2000	52	-1.2	2.3	90	11	11	59	15	0	0	5	1	22	4	12	7	6	0	7	2	0	0	2	1
2001	1	3.9	6.3	92	1	23	91	19	7	0	6	1	27	9	5	2	13	4	7	2	3	0	4	1
2001	2	0.7	5.5	91	21	3	120	30	12	0	9	2	32	11	11	3	15	2	6	1	4	3	8	2
2001	3	-0.5	1.8	91	3	2	126	35	16	1	16	5	27	9	7	5	6	0	23	6	8	2	6	3
2001	4	2.7	7.3	93	4	18	131	36	22	8	7	0	26	4	9	7	19	5	9	5	7	1	14	4
2001	5	-2.2	4.1	86	17	5	112	29	8	1	11	5	14	3	7	5	19	1	6	1	9	2	17	7
2001	6	1.9	8.1	91	10	35	107	38	9	2	13	3	12	6	6	4	14	4	6	4	8	3	6	1
2001	7	3.2	8.6	87	26	3	106	28	4	1	14	5	19	8	10	3	16	3	9	2	0	0	11	2
2001	8	0.3	6.4	77	30	4	113	24	12	2	4	0	33	2	12	4	12	1	7	4	0	0	7	2
2001	9	-2.7	2.1	84	17	5	93	15	7	1	6	1	22	3	9	2	15	2	5	2	4	0	9	0
2001	10	3.2	8.9	86	19	15	115	44	19	6	11	4	23	9	11	5	8	1	14	6	5	4	6	1
2001	11	2.3	8	82	25	12	127	28	15	1	21	4	23	4	8	6	16	3	13	0	8	0	3	1
2001	12	-0.6	4.2	68	40	2	115	27	14	1	3	2	18	2	5	0	14	3	12	8	14	5	19	0
2001	13	3	10.5	76	34	9	113	20	6	0	15	1	14	2	10	5	22	1	7	2	12	1	9	2
2001	14	6.4	13.4	85	23	19	122	32	8	0	21	1	19	1	8	5	16	4	7	0	0	0	10	2
2001	15	3.5	11.2	62	47	5	70	9	6	0	4	0	20	1	10	0	7	1	11	3	0	0	2	0
2001	16	4.1	10.7	70	47	7	94	14	6	0	5	0	29	7	12	2	14	3	4	0	2	0	5	0
2001	17	7.7	13.1	79	30	30	119	17	13	4	8	1	25	3	13	0	10	0	7	4	2	1	15	2
2001	18	8.8	17	66	67	7	95	27	10	1	11	2	17	0	10	4	10	2	5	2	8	1	5	2
2001	19	12.9	22	51	86	1	102	15	6	1	15	4	29	1	2	2	13	0	11	1	4	0	3	1
2001	20	11.1	19.1	73	52	14	132	28	19	3	8	1	19	3	5	3	22	5	13	7	14	2	14	0
2001	21	12.1	18.9	57	80	1	91	30	6	2	10	2	13	2	4	4	12	6	4	1	13	0	16	5
2001	22	11.4	17.8	82	28	31	116	41	5	2	14	2	20	4	9	4	20	2	7	0	0	0	8	1
2001	23	10.7	16.2	71	56	12	78	23	8	5	12	3	22	0	11	7	6	1	7	4	0	0	4	1
2001	24	11.6	17.7	66	74	9	129	41	9	3	11	4	34	12	13	8	16	4	9	0	2	0	11	3
2001	25	13.6	19.7	72	56	9	120	51	15	8	6	4	25	12	15	6	11	1	7	1	5	0	13	8
2001	26	16.6	23.8	71	68	12	129	41	13	4	16	1	21	2	19	8	14	5	12	7	7	2	4	1
2001	27	19.9	28.3	62	89	5	123	60	12	2	20	11	29	9	5	3	9	7	8	5	13	3	6	4
2001	28	15.6	21.9	72	53	31	123	72	7	4	8	7	12	8	4	3	21	9	7	6	16	12	20	3
2001	29	16.2	23	67	61	8	123	96	13	11	14	12	21	13	8	7	16	11	9	9	0	0	14	12
2001	30	18.7	25.4	62	83	3	123	93	14	10	13	11	22	19	11	9	14	10	12	9	0	0	11	11
2001	31	16.3	22.8	69	51	18	112	92	6	4	13	11	37	33	13	13	10	6	6	4	2	2	4	4
2001	32	15.3	20.5	73	53	46	116	104	21	19	6	5	30	25	10	10	13	11	2	2	3	3	11	11
2001	33	18.8	28.6	72	54	7	111	81	9	6	9	6	20	14	14	13	12	10	11	9	8	4	8	6
2001	34	18.5	25.6	72	49	19	119	100	10	9	21	15	24	20	9	9	12	7	8	8	16	16	4	3
2001	35	15.1	20.7	72	46	7	126	106	6	5	11	7	13	10	6	6	22	19	15	12	12	12	12	11
2001	36	13.3	19.3	75	35	35	113	88	11	7	10	6	24	21	3	3	15	9	6	4	2	2	12	7
2001	37	12.2	17.6	79	35	31	114	84	14	8	8	6	22	13	8	6	12	8	9	6	0	0	11	9
2001	38	12.9	16.8	85	18	49	129	97	6	5	18	13	40	34	13	11	15	9	8	6	0	0	12	10
2001	39	11.3	15.6	84	12	16	117	64	20	4	16	7	22	15	13	12	11	5	0	0	4	4	8	7
2001	40	13.3	17.5	85	26	25	126	62	7	2	16	12	29	11	17	15	13	5	10	1	2	0	12	7
2001	41	13.3	17.7	85	19	21	120	54	10	2	14	9	24	7	9	6	15	4	9	7	22	12	2	1
2001	42	11.5	17.4	86	17	1	144	67	10	5	13	2	23	7	6	3	24	12	10	3	16	11	16	10
2001	43	10.2	14	85	10	10	125	58	8	3	11	4	32	18	11	6	13	2	14	7	2	0	9	4
2001	44	10	14.7	83	15	15	192	90	28	10	17	15	38	14	16	8	16	4	16	3	3	3	10	3
2001	45	5.2	10.6	80	25	23	207	60	23	1	20	5	48	15	11	10	28	2	16	8	1	1	24	4
2001	46	5.2	10.5	82	24	4	210	67	18	1	38	9	34	11	25	18	18	3	6	0	6	2	26	6
2001	47	4.4	10.1	83	19	19	222	45	19	4	31	4	40	5	22	11	27	8	15	1	19	5	17	5
2001	48	3.6	7.2	91	12	16	215	53	19	2	24	4	30	6	17	10	37	9	13	6	28	6	16	4
2001	49	2.8	7.8	93	7	9	163	55	18	5	13	6	33	10	14	10	19	3	15	6	19	5	14	6
2001	50	1.4	6.7	92	11	1	151	46	15	5	8	2	41	4	11	3	13	2	32	19	2	1	9	3
2001	51	-0.1	6.1	83	12	17	107	42	17	3	8	4	31	14	13	11	5	1	3	0	0	0	1	1
2001	52	-1.8	4.9	92	5	27	38	10	2	0	0	0	6	2	4	3	4	0	5	2	2	0	1	0
2002	1	-1.6	5.7	84	21.6	3	98	18	5	0	17	7	23	2	3	2	10	2	6	1	1	0	16	2
2002	2	1.7	4.8	94	2.8	1	123	28	9	0	16	1	21	4	8	7	14	6	5	0	3	1	12	3
2002	3	3.4	7.2	95	3.2	19	123	41	16	2	18	9	19	3	15	9	16	7	6	2	6	2	14	4
2002	4	4.8	8.2	88	6.3	47	124	31	10	1	25	5	13	1	10	6	17	5	7	2	16	5	6	1
2002	5	7.2	11.2	83	15.6	27	125	29	12	3	9	3	15	3	11	1	14	1	6	0	16	8	19	2
2002	6	6.3	9.2	87	12.2	29	118	26	10	1	8	3	29	5	7	3	15	1	15	4	3	0	6	0
