"","chrnr","epinr","jnr","matr","resultat","prvdato","region","ugenr"
"22723",10177,1,"A2667162","772","NEG",1998-02-27,NA,9
"22727",10619,1,"A2667167","772","NEG",1998-03-02,"R5",10
"22751",10152,1,"A2667033","772","NEG",1998-03-02,"R2",10
"22755",10161,1,"A2667039","772","NEG",1998-02-26,"R1",9
"22759",10203,2,"A2667044","772","NEG",1998-03-02,"R3",10
"22764",10203,1,"A2666868","772","NEG",1998-02-24,"R3",9
"22768",10107,1,"A2666872","772","NEG",1998-02-24,"R3",9
"22772",10161,3,"A2666876","772","NEG",1998-02-24,"R1",9
"22780",10245,4,"A2666891","772","POS",1998-02-26,"R4",9
"22787",10237,2,"A2666864","772","NEG",1998-02-24,"R8",9
"22791",10239,1,"A2666726","772","NEG",1998-02-20,"R6",8
"22795",10241,3,"A2666838","772","NEG",1998-02-24,NA,9
"22799",10176,1,"A2666843","772","NEG",1998-02-24,"R3",9
"22803",10107,0,"A2666851","772","NEG",1998-02-26,"R3",9
"22807",10186,2,"A2666855","772","NEG",1998-02-26,"R6",9
"22811",10161,2,"A2666862","772","NEG",1998-02-26,"R1",9
"22827",10005,2,"A2666698","772","NEG",1998-02-23,"R6",9
"22831",10609,1,"A2666706","772","NEG",1998-02-23,"R2",9
"22836",10245,2,"A2666712","772","NEG",1998-02-20,"R4",8
"22841",10485,3,"A2666558","772","NEG",1998-02-17,"R5",8
"22845",10657,1,"A2666562","772","NEG",1998-02-18,"R6",8
"22849",10109,2,"A2666584","772","NEG",1998-02-16,"R5",8
"22853",10084,3,"A2666588","772","NEG",1998-02-16,"R2",8
"22868",10279,1,"A2666530","772","NEG",1998-02-17,"R6",8
"22872",10375,2,"A2666535","772","NEG",1998-02-18,"R7",8
"22876",10560,2,"A2666540","772","POS",1998-02-19,"R8",8
"22880",10226,9,"A2666546","772","POS",1998-02-18,NA,8
"22884",10636,2,"A2666550","772","NEG",1998-02-17,"R3",8
"22888",10208,1,"A2666554","772","NEG",1998-02-17,NA,8
"22896",10595,7,"A2666332","772","NEG",1998-02-16,NA,8
"22900",10100,4,"A2666336","772","NEG",1998-02-13,"R1",7
"22904",10388,1,"A2666341","772","NEG",1998-02-13,"R1",7
"22908",10644,2,"A2666345","772","NEG",1998-02-12,"R8",7
"22912",10219,2,"A2666349","772","NEG",1998-02-17,"R3",8
"22916",10156,5,"A2666526","772","NEG",1998-02-19,NA,8
"22920",10402,1,"A2666218","772","NEG",1998-02-12,"R1",7
"22924",10304,2,"A2666303","772","NEG",1998-02-10,"R7",7
"22928",10174,4,"A2666309","772","NEG",1998-02-13,"R5",7
"22932",10133,1,"A2666313","772","NEG",1998-02-12,"R5",7
"22936",10646,1,"A2666317","772","NEG",1998-02-13,"R8",7
"22964",10202,2,"A2666207","772","NEG",1998-02-09,"R5",7
"22968",10247,1,"A2666211","772","NEG",1998-02-10,"R2",7
